Distance (mm),T (K),P (Pa),V (M^3/s),X_nh3 initial,X_o2 initial,X_he initial,(NH3/O2),T (K) final,Rtol,Atol,reactor type,energy on?,He,Ar,Ne,O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NOX,OX,NX,OHX,NH3X,X(1),NH2_X(8),NH_X(9),H2O_X(11),He ROP [kmol/m^3 s],Ar ROP [kmol/m^3 s],Ne ROP [kmol/m^3 s],O2(2) ROP [kmol/m^3 s],H2O(3) ROP [kmol/m^3 s],N2(4) ROP [kmol/m^3 s],NO(5) ROP [kmol/m^3 s],NH3(6) ROP [kmol/m^3 s],N2O(7) ROP [kmol/m^3 s],He surface ROP [kmol/m^2 s],Ar surface ROP [kmol/m^2 s],Ne surface ROP [kmol/m^2 s],O2(2) surface ROP [kmol/m^2 s],H2O(3) surface ROP [kmol/m^2 s],N2(4) surface ROP [kmol/m^2 s],NO(5) surface ROP [kmol/m^2 s],NH3(6) surface ROP [kmol/m^2 s],N2O(7) surface ROP [kmol/m^2 s],NOX ROP [kmol/m^2 s],OX ROP [kmol/m^2 s],NX ROP [kmol/m^2 s],OHX ROP [kmol/m^2 s],NH3X ROP [kmol/m^2 s],X(1) ROP [kmol/m^2 s],NH2_X(8) ROP [kmol/m^2 s],NH_X(9) ROP [kmol/m^2 s],H2O_X(11) ROP [kmol/m^2 s],NX + OX <=> NOX + X(1) ROP [kmol/m^2 s],O2(2) + 2 X(1) <=> 2 OX ROP [kmol/m^2 s],2 NX <=> N2(4) + 2 X(1) ROP [kmol/m^2 s],NOX <=> NO(5) + X(1) ROP [kmol/m^2 s],NH3(6) + X(1) <=> NH3X ROP [kmol/m^2 s],NOX + NX <=> N2O(7) + 2 X(1) ROP [kmol/m^2 s],N2O(7) + X(1) <=> N2(4) + OX ROP [kmol/m^2 s],NH3X + OX <=> NH2_X(8) + OHX ROP [kmol/m^2 s],NH2_X(8) + OX <=> NH_X(9) + OHX ROP [kmol/m^2 s],NH_X(9) + OX <=> NX + OHX ROP [kmol/m^2 s],NH_X(9) + OHX <=> H2O_X(11) + NX ROP [kmol/m^2 s],H2O_X(11) + OX <=> 2 OHX ROP [kmol/m^2 s],H2O_X(11) <=> H2O(3) + X(1) ROP [kmol/m^2 s]
4.265999999999999,598,101325.00000000003,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.05999999999999999,0.0,0.0,0.8799999999999999,0.0,0.0,0.0,0.05999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763196,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.13266065781526393,0.0,0.0,0.21014427230640878,-0.34280493012167274,0.0,0.0,0.0,0.0,0.06633032890763196,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.2749999999999995,598,101324.99999999999,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.06,0.0,0.0,0.88,0.0,0.0,0.0,0.06000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763195,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.1326606578152639,0.0,0.0,0.21014427230640878,-0.3428049301216727,0.0,0.0,0.0,0.0,0.06633032890763195,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.284,598,101325.00000000003,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.05999999999999999,0.0,0.0,0.8799999999999999,0.0,0.0,0.0,0.05999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763196,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.13266065781526393,0.0,0.0,0.21014427230640878,-0.34280493012167274,0.0,0.0,0.0,0.0,0.06633032890763196,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.292999999999999,598,101324.99999999999,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.06,0.0,0.0,0.88,0.0,0.0,0.0,0.06000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763195,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.1326606578152639,0.0,0.0,0.21014427230640878,-0.3428049301216727,0.0,0.0,0.0,0.0,0.06633032890763195,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.302,598,101325.00000000003,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.05999999999999999,0.0,0.0,0.8799999999999999,0.0,0.0,0.0,0.05999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763196,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.13266065781526393,0.0,0.0,0.21014427230640878,-0.34280493012167274,0.0,0.0,0.0,0.0,0.06633032890763196,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.311,598,101324.99999999999,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.06,0.0,0.0,0.88,0.0,0.0,0.0,0.06000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763195,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.1326606578152639,0.0,0.0,0.21014427230640878,-0.3428049301216727,0.0,0.0,0.0,0.0,0.06633032890763195,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.319999999999999,598,101325.00000000003,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.05999999999999999,0.0,0.0,0.8799999999999999,0.0,0.0,0.0,0.05999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763196,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.13266065781526393,0.0,0.0,0.21014427230640878,-0.34280493012167274,0.0,0.0,0.0,0.0,0.06633032890763196,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.329,598,101324.99999999999,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.06,0.0,0.0,0.88,0.0,0.0,0.0,0.06000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763195,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.1326606578152639,0.0,0.0,0.21014427230640878,-0.3428049301216727,0.0,0.0,0.0,0.0,0.06633032890763195,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.337999999999999,598,101325.00000000003,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.05999999999999999,0.0,0.0,0.8799999999999999,0.0,0.0,0.0,0.05999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763196,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.13266065781526393,0.0,0.0,0.21014427230640878,-0.34280493012167274,0.0,0.0,0.0,0.0,0.06633032890763196,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.3469999999999995,598,101324.99999999999,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.06,0.0,0.0,0.88,0.0,0.0,0.0,0.06000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763195,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.1326606578152639,0.0,0.0,0.21014427230640878,-0.3428049301216727,0.0,0.0,0.0,0.0,0.06633032890763195,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.356,598,101325.00000000003,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.05999999999999999,0.0,0.0,0.8799999999999999,0.0,0.0,0.0,0.05999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763196,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.13266065781526393,0.0,0.0,0.21014427230640878,-0.34280493012167274,0.0,0.0,0.0,0.0,0.06633032890763196,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.364999999999999,598,101324.99999999999,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.06,0.0,0.0,0.88,0.0,0.0,0.0,0.06000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763195,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.1326606578152639,0.0,0.0,0.21014427230640878,-0.3428049301216727,0.0,0.0,0.0,0.0,0.06633032890763195,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.374,598,101325.00000000003,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.05999999999999999,0.0,0.0,0.8799999999999999,0.0,0.0,0.0,0.05999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763196,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.13266065781526393,0.0,0.0,0.21014427230640878,-0.34280493012167274,0.0,0.0,0.0,0.0,0.06633032890763196,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.382999999999999,598,101324.99999999999,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.06,0.0,0.0,0.88,0.0,0.0,0.0,0.06000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763195,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.1326606578152639,0.0,0.0,0.21014427230640878,-0.3428049301216727,0.0,0.0,0.0,0.0,0.06633032890763195,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.3919999999999995,598,101325.00000000003,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.05999999999999999,0.0,0.0,0.8799999999999999,0.0,0.0,0.0,0.05999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763196,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.13266065781526393,0.0,0.0,0.21014427230640878,-0.34280493012167274,0.0,0.0,0.0,0.0,0.06633032890763196,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.401,598,101324.99999999999,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.06,0.0,0.0,0.88,0.0,0.0,0.0,0.06000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763195,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.1326606578152639,0.0,0.0,0.21014427230640878,-0.3428049301216727,0.0,0.0,0.0,0.0,0.06633032890763195,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.409999999999999,598,101325.00000000003,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.05999999999999999,0.0,0.0,0.8799999999999999,0.0,0.0,0.0,0.05999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763196,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.13266065781526393,0.0,0.0,0.21014427230640878,-0.34280493012167274,0.0,0.0,0.0,0.0,0.06633032890763196,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.419,598,101324.99999999999,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.06,0.0,0.0,0.88,0.0,0.0,0.0,0.06000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763195,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.1326606578152639,0.0,0.0,0.21014427230640878,-0.3428049301216727,0.0,0.0,0.0,0.0,0.06633032890763195,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.428,598,101325.00000000003,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.05999999999999999,0.0,0.0,0.8799999999999999,0.0,0.0,0.0,0.05999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763196,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.13266065781526393,0.0,0.0,0.21014427230640878,-0.34280493012167274,0.0,0.0,0.0,0.0,0.06633032890763196,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.436999999999999,598,101324.99999999999,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.06,0.0,0.0,0.88,0.0,0.0,0.0,0.06000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763195,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.1326606578152639,0.0,0.0,0.21014427230640878,-0.3428049301216727,0.0,0.0,0.0,0.0,0.06633032890763195,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.446,598,101325.00000000003,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.05999999999999999,0.0,0.0,0.8799999999999999,0.0,0.0,0.0,0.05999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763196,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.13266065781526393,0.0,0.0,0.21014427230640878,-0.34280493012167274,0.0,0.0,0.0,0.0,0.06633032890763196,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.454999999999999,598,101324.99999999999,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.06,0.0,0.0,0.88,0.0,0.0,0.0,0.06000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763195,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.1326606578152639,0.0,0.0,0.21014427230640878,-0.3428049301216727,0.0,0.0,0.0,0.0,0.06633032890763195,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.4639999999999995,598,101325.00000000003,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.05999999999999999,0.0,0.0,0.8799999999999999,0.0,0.0,0.0,0.05999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763196,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.13266065781526393,0.0,0.0,0.21014427230640878,-0.34280493012167274,0.0,0.0,0.0,0.0,0.06633032890763196,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.473,598,101324.99999999999,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.06,0.0,0.0,0.88,0.0,0.0,0.0,0.06000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763195,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.1326606578152639,0.0,0.0,0.21014427230640878,-0.3428049301216727,0.0,0.0,0.0,0.0,0.06633032890763195,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.481999999999999,598,101325.00000000003,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.05999999999999999,0.0,0.0,0.8799999999999999,0.0,0.0,0.0,0.05999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763196,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.13266065781526393,0.0,0.0,0.21014427230640878,-0.34280493012167274,0.0,0.0,0.0,0.0,0.06633032890763196,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.491,598,101324.99999999999,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.06,0.0,0.0,0.88,0.0,0.0,0.0,0.06000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763195,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.1326606578152639,0.0,0.0,0.21014427230640878,-0.3428049301216727,0.0,0.0,0.0,0.0,0.06633032890763195,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.5,598,101325.00000000003,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.05999999999999999,0.0,0.0,0.8799999999999999,0.0,0.0,0.0,0.05999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763196,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.13266065781526393,0.0,0.0,0.21014427230640878,-0.34280493012167274,0.0,0.0,0.0,0.0,0.06633032890763196,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.5089999999999995,598,101324.99999999999,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.06,0.0,0.0,0.88,0.0,0.0,0.0,0.06000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763195,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.1326606578152639,0.0,0.0,0.21014427230640878,-0.3428049301216727,0.0,0.0,0.0,0.0,0.06633032890763195,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.518,598,101325.00000000003,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.05999999999999999,0.0,0.0,0.8799999999999999,0.0,0.0,0.0,0.05999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763196,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.13266065781526393,0.0,0.0,0.21014427230640878,-0.34280493012167274,0.0,0.0,0.0,0.0,0.06633032890763196,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.526999999999999,598,101324.99999999999,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.06,0.0,0.0,0.88,0.0,0.0,0.0,0.06000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763195,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.1326606578152639,0.0,0.0,0.21014427230640878,-0.3428049301216727,0.0,0.0,0.0,0.0,0.06633032890763195,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.536,598,101325.00000000003,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.05999999999999999,0.0,0.0,0.8799999999999999,0.0,0.0,0.0,0.05999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763196,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.13266065781526393,0.0,0.0,0.21014427230640878,-0.34280493012167274,0.0,0.0,0.0,0.0,0.06633032890763196,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.545,598,101324.99999999999,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.06,0.0,0.0,0.88,0.0,0.0,0.0,0.06000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763195,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.1326606578152639,0.0,0.0,0.21014427230640878,-0.3428049301216727,0.0,0.0,0.0,0.0,0.06633032890763195,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.553999999999999,598,101325.00000000003,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.05999999999999999,0.0,0.0,0.8799999999999999,0.0,0.0,0.0,0.05999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763196,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.13266065781526393,0.0,0.0,0.21014427230640878,-0.34280493012167274,0.0,0.0,0.0,0.0,0.06633032890763196,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.563,598,101324.99999999999,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.06,0.0,0.0,0.88,0.0,0.0,0.0,0.06000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763195,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.1326606578152639,0.0,0.0,0.21014427230640878,-0.3428049301216727,0.0,0.0,0.0,0.0,0.06633032890763195,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.572,598,101325.00000000003,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.05999999999999999,0.0,0.0,0.8799999999999999,0.0,0.0,0.0,0.05999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763196,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.13266065781526393,0.0,0.0,0.21014427230640878,-0.34280493012167274,0.0,0.0,0.0,0.0,0.06633032890763196,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.5809999999999995,598,101324.99999999999,5.8333e-05,0.06,0.88,0.06,0.06818181818181818,598.0,1e-11,1e-22,IdealGasReactor,off,0.06,0.0,0.0,0.88,0.0,0.0,0.0,0.06000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06633032890763195,0.0,0.0,0.0,-0.21014427230640878,0.0,0.0,0.1326606578152639,0.0,0.0,0.21014427230640878,-0.3428049301216727,0.0,0.0,0.0,0.0,0.06633032890763195,0.0,0.0,0.21014427230640878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
